"deep link","چوڭقۇر ئۇلانما"
"deep linking","چوڭقۇر ئۇلاش"
"default","سۈكۈت"
"default data file","باش ئۇچۇر ھۆججىتى"
"default font","باش خەت نۇسخىسى"
"default hero","باش قەھرىمان"
"default location","باش ئورۇن"
"default shape","باش شەكلى"
"default value","سۈكۈتتىكى قىممەت"
"default workbook template","ئىش قەغىزىنىڭ باش ئۇسلۇبى"
"default worksheet template","جەدۋەلنىڭ باش ئۇسلۇبى"
"Define","ئىزاھ"
"defined name","ئېنىقلىما"
"Definition","ئېنىقلىما"
"definitions","ئېنىقلىمىلار"
"definitions callout","قوشۇمچە ئىزاھ"
"defragmentation","پارچە رەتلەش"
"delay","كېچىكىش"
"delegate","ۋەكىل"
"delete","ئۆچۈرمەك"
"delete query","ئۆچۈرۈش سۈرۈشتۈرمىسى"
"delimited text file","بۆلۈنگەن تېكست ھۆججىتى"
"delimiter","ئېنىقلىما بەلگىسى"
"delist","تىزىملىكتىن چىقىرىۋېتىش"
"deliver","يەتكۈزگۈچى"
"deliverable","يوللاشقا بولىدىغان"
"Delivery Optimization","يەتكۈزۈشنى ئەلالاشتۇرۇش"
"Dell NetReady","Dell NetReady"
"demo","ئۈلگە"
"demote","كىچىكلىتىش"
"Denim","قىلىن پاختا رەخت"
"DEP","DEP"
"dependency graph","بېقىنما گىرافىك"
"dependent","بېقىندى"
"deploy","تارقىتىش"
"deployment package","تەقسىمات بولىقى"
"depth axis","چوڭقۇرلۇق ئوقى"
"DES","DES"
"deselect","تاللاشنى قالدۇرۇش"
"Design","لايھە"
"design element","لايھە ئېلېمېنتى"
"Designer","لايھەلىگۈچى"
"designer","لايىھەلىگۈچى"
"Design Ideas","لايىھەلەش مىساللىرى"
"design lever","لايىھەلەش دەستىسى"
"Design Manager","لايھە باشقۇرغۇچى"
"Design Master","لايىھە ئۇستىسى"
"design mode","لايىھەلەش ھالىتى"
"Design panel","لايىھەلەش تاختىسى"
"design template","لايھە ئۇسلۇبى"
"Design tools","لايىھە قوراللىرى"
"Design view","لايھەنى كۆرۈش"
"desktop","ئۈستەليۈزى"
"desktop background","ئۈستەليۈزى تەگلىكى"
"desktop device","ئۈستەليۈزى ئۈسكۈنىسى"
"desktop pattern","ئۈستەليۈزى ئەندىزىسى"
"desktop program","ئۈستەل كومپيۇتېرى پىروگراممىسى"
"destination","نىشان"
"destination area","مەنزىل رايون"
"destination document","مەنزىل ھۆججەت"
"destination file","نىشان ھۆججەت"
"destination subscription","نىشان مۇشتەرىلىك"
"detail data","ئۇچۇر تەپسىلاتى"
"Detailed Process","تەپسىلىي جەريان"
"detail field","ئورۇن تەپسىلاتى"
"Detail view","تەپسىلىي كۆرۈنۈش"
"Detected Events","تەكشۈرۈلگەن ھادىسىلەر"
"Developer Site","ئاچقۇچىلار بېتى"
"Developer tools","ئىجادىيەت قوراللىرى"
"Development kits","يۈرۈشلۈك ئىجادىيەت قوراللىرى"
"device","ئۈسكۈنە"
"device claim","ئۈسكۈنە تەلىپى"
"device connectivity and configuration data","ئۈسكۈنىنىڭ ئۇلىنىش ۋە تەڭشەك مەلۇماتى"
"device driver","ئۈسكۈنە قوزغىتىش پىروگراممىسى"
"Device Encryption","ئۈسكۈنە مەخپىيلەشتۈرۈش"
"Device Guard signing","Device Guard ئىمزالاش"
"Device performance & health","ئۈسكۈنىنىڭ ئىش ئۈنۈمى ۋە ساغلاملىق"
"Device Portal","ئۈسكۈنە ئېغىزى"
"Devices","ئۈسكۈنىلەر"
"Devices charm","ئۈسكۈنىلەر تۈگمىسى"
"device security","ئۈسكۈنە بىخەتەرلىگى"
"diacritic","تاۋۇش پەرقلىگۈچ"
"diagnostic data","تەكشۈرۈش مەلۇماتى"
"Diagnostic Data Viewer","دىئاگنوزلىق مەلۇماتى كۆرگۈچ"
"Diagnostics","دىياگنوز"
"diagram effect option","دىئاگرامما ئۈنۈمى تاللانمىسى"
"dial","نومۇر بۇرىماق"
"dialable format","چاقىرما فورمات"
"dialog box","دىيالوگ رامكىسى"
"Dialog Box Launcher","دىيالوگ رامكىسى قوزغاتقۇچ"
"dial pad","نومۇر تاختىسى"
"dial-up","نومۇر بۇراش"
"Dictate","ئاڭلاپ يېزىش"
"Dictation","ئاڭلاپ يېزىش"
"dictionary","لۇغەت"
"DIF","DIF"
"Diffuse Lighting","چاچما يورۇتۇش"
"digit","خانا"
"digital","رەقەملىك"
"digital certificate","رەقەملىك گۇۋاھنامە"
"digital download code","رەقەملىك چۈشۈرۈش كودى"
"digital handwriting","رەقەملىك قوليازما"
"Digital ID","رەقەملىك كىملىك"
"digital identity","رەقەملىك كىملىك"
"digital image","رەقەملىك رەسىم"
"digital ink","رەقەملىك رەڭ"
"digitally sign","رەقەملىك ئىمزا"
"digitally signed","رەقەملىك ئىمزالانغان"
"Digital Pencil","رەقەملىك قەلەم"
"digital photo","رەقەملىك سۈرەت"
"digital signage","ھەمكارلىق ۋاقتى"
"digital signature","رەقەملىك ئىمزا"
"digital video","رەقەملىك سىن"
"DIGRAM FOR HEAVENLY EARTH","DIGRAM FOR HEAVENLY EARTH"
"dim","خىرەلەشتۈرمەك"
"dimension","ئۆلچەم"
"dimension level","ئۆلچەم دەرىجىسى"
"DirectAccess","DirectAccess"
"Direct Dial number","بىۋاستە ئۇلىنىدىغان نومۇر"
"directory","مۇندەرىجە"
"DirectX Graphics Infrastructure","DirectX گىرافىك ئاساسىي قۇرۇلمىسى"
"disable","چەكلىمەك"
"disabled","چەكلەنگەن"
"disabled control","ئۈنۈمسىز تىزگىن"
"disc","دىسكا"
"discard","ئۆچۈرۈش"
"discard changes","ئۆزگىرىشلەرنى بىكار قىلماق"
"disc burner","دىسكا ئويغۇچ"
"disconnect","ئۈزۈۋەتمەك"
"Discovery and Risk Assessment","Discovery and Risk Assessment"
"discretionary hyphen","سىزىقچە"
"discussion comment","مۇنازىرە ئىنكاسى"
"discussion group","مۇنازىرە گۇرۇپپىسى"
"disk","دىسكا"
"disk drive","دىسكا قوزغاتقۇچ"
"disk partition","دىسكا تارماق رايونى"
"disk space","دىسكا بوشلۇقى"
"Displacement Map","يۆتكەش خەرىتىسى"
"display","كۆرسەتمەك"
"display adapter","كۆرسىتىش كارتى"
"display name","كۆرسىتىش نامى"
"disposition review","جۆندەش تەكشۈرۈشى"
"disregarded entity","ئېتىبارسىز گەۋدە"
"distribute","تارقىتىش"
"distributed password authentication","تارالما ئىم تەستىقى"
"distribution group","تارقىتىش گۇرۇپپىسى"
"distribution list","تارقىتىش تىزىملىكى"
"distributor","تارقاتقۇچى"
"Diverging Arrows","يايما يۆنىلىش"
"Diverging Radial","يايما رادىيوس"
"divider","ئايرىغۇچ"
"DIY","خاسلاشتۇرما"
"DKK","DKK"
"DLC","DLC"
"DLL","DLL"
"DLP","م ي س"
"DNS name","DNS نامى"
"doc","ھۆججەت"
"dock","سۇپا"
"docked toolbar","توختىتىلغان قورالبالداق"
"Docs.com","Docs.com"
"document","ھۆججەت"
"documentation","قوللانما"
"Document Deletion Policy","ھۆججەت ئۆچۈرۈش تۈزۈمى"
"document element","ھۆججەت ئېلېمېنتى"
"Document Fingerprinting","ھۆججەت بارماق ئىزى"
"Document Information Panel","ھۆججەت ئۇچۇرى كۆزنىكى"
"Document Inspector","ھۆججەت تەكشۈرگۈچ"
"Document Integrity","ھۆججەت سۈپىتى"
"document library","ھۆججەت ئامبىرى"
"document management system","ھۆججەت باشقارمىسى"
"Document Map","ھۆججەت خەرىتىسى"
"Document Panel","ھۆججەت تاختىسى"
"document parsing","ھۆججەت ئانالىزى"
"document properties","ھۆججەت خاسلىقلىرى"
"Document Review","ھۆججەت تەكشۈرۈش"
"Documents","ھۆججەتلەر"
"document type definition","ھۆججەت تىپى ئېنىقلىمىسى"
"document window","پۈتۈك كۆزنىكى"
"Document Workspace","ھۆججەت مەشغۇلات سۇپىسى"
"Document Workspace site","ھۆججەت مەشغۇلات سۇپىسى بېكىتى"
"DOM","DOM"
"domain","دائىرە"
"domain controller","ساھە كونتروللىرى"
"Do more","تېخىمۇ كۆپ"
"Do Not Forward","تارقاتماڭ"
"Do Not Track","ئىزلانمىسۇن"
"doodle","جىجىش"
"double-click","قوش چەكمەك"
"Double data type","قوش ئۇچۇر تىپى"
"double-tap","قوش بېسىش"
"doughnut chart","ھالقىسىمان گىرافىك"
"download","چۈشۈرۈش"
"Downloads","چۈشۈرۈشلەر"
"Downtown","شەھەر مەركىزى"
"DPA","DPA"
"DPI","dpi"
"draft","ئورگىنال"
"draft quality","ئورگىنال سۈپەتلىك"
"draft view","ئورگىنال كۆرۈنۈشى"
"drag","سۆرىمەك"
"Drag and drop","سۆرەپ تاشلاش"
"drag-and-drop","سۆرەپ تاشلاش"
"draw","سىزىش"
"Draw","سىزىش"
"drawing","سىزىش"
"drawing canvas","رەسىم سىزىش تاختىسى"
"drawing guide","ئىش كۆرسەتمىسى"
"drawing object","تارتما ئوبيېكت"
"drive","قوزغاتقۇچ"
"drive letter","قوزغاتقۇچ بەلگىسى"
"driver","قوزغىتىش پىروگراممىسى"
"drop area","تاشلاش رايونى"
"drop-down arrow","ئېسىلما تىزىملىك"
"drop-down list","ئېسىلما تىزىم"
"drop-down list box","سىيرىلما تىزىملىك رامكىسى"
"drop-down menu","ئېسىلما تىزىملىك"
"drop lines","تاشلاش سىزىقى"
"drop shadow","سايە"
"dry ink","قۇرۇق بوياق"
"DTD","DTD"
"Dubai Font","Dubai Font"
"due date","تامام ۋاقتى"
"DV","DV"
"DVD","DVD"
"DVD Player","DVD قويغۇچ"
"DXGI","DXGI"
"dynamic access control","ھەرىكەتچان زىيارەت باشقۇرۇش"
"dynamic canary","dynamic canary"
"Dynamic Email Delivery","ھەرىكەتچان تورخەت يوللاش"
"dynamic formula","يۈرگۈن فورمۇلا"
"dynamic group","ھەرىكەتچان گۇرۇپپا"
"dynamic landing page","يۈرگۈن بەت"
"dynamic membership","ھەرىكەتچان ئەزالىق"
"Dynamic Memory","ھەرىكەتچان ساقلىغۇچ"
"Dynamics CRM for Outlook","Outlook ئۈچۈن ھەرىكەتچان CRM"
"EAC","EAC"
"early-launch boot driver","بالدۇر قوزغىتىلغان قوزغىتىش پىروگراممىسى"
"Early learning","بالدۇر تەربىيە"
"Ease of Access","ئاسان زىيارەت"
"Ease of Access Center","مەخسۇس ئىمكانىيەتلەر مەركىزى"
"easily","ئاسانلىقچە"
"edge","چېگرا"
"eDiscovery","eDiscovery"
"edit","تەھرىرلىمەك"
"editable ink","تەھرىرلىگىلى بولىدىغان بوياق"
"Edit menu","تەھرىرلەش تىزىملىكى"
"Edit mode","تەھرىرلەش ھالىتى"
"editor","تەھرىرلىگۈچ"
"Editor","تەھرىرلىگۈچ"
"Editors' picks","مۇھەررىرلەرنىڭ تاللىغانلىرى"
"EDP","EDP"
"Education","مائارىپ"
"educational","تەربىيە"
"education preview","مائارىپ نەشرى كۆرىكى"
"Education Preview","مائارىپ نەشرى كۆرىكى"
"educator","ئوقۇتقۇچى"
"effect","ئۈنۈم"
"effective","ئۈنۈملۈك"
"Efficient File Storage","ھۆججەتنى پارچىلاپ ساقلاش"
"Elapsed","سەرپ بولغان"
"Electric","ئېلېكترلىك"
"electrical sensor","ئېلېكتىرونلۇق سەزگۈچ"
"Electronic Business Card","ئېلېكتىرونلۇق سودا كارتىسى"
"electronic magazine","ئېلېكتىرونلۇق ژۇرنال"
"element","ئېلېمېنت"
"email","تورخەت ئەۋەتمەك"
"e-mail account","تورخەت ھېساباتى"
"email account","تورخەت ھېساباتى"
"e-mail address","ئېلېكتىرونلۇق خەت ئادرېسى"
"email address","تورخەت ئادرېسى"
"e-mail alias","باشقا تورخەت نامى"
"email domain","تورخەت دائىرىسى"
"email hosting","تورخەت بېقىش"
"Email Insights","Email Insights"
"E-mail Merge","تورخەت بىرىكتۈرۈش"
"e-mail message","ئېلېكتىرونلۇق خەت ئۇچۇرى"
"email message","تورخەت"
"email reminder","ئەسلەتمە تورخەت"
"e-mail server","تورخەت مۇلازىمېتىرى"
"email service","تورخەت مۇلازىمىتى"
"Email Settings page","تورخەت تەڭشەكلىرى بېتى"
"Email templates","تورخەت قېلىپى"
"Email to OneNote","OneNote قا تورخەت يوللاش"
"embed","سىڭدۈرمەك"
"Embed","قىستۇرۇش"
"embedded audio clip","قىستۇرما ئۈن"
"embedded chart","قىستۇرما جەدۋەل"
"embedded object","قىستۇرما ئوبيېكت"
"embedded picture","قىستۇرما رەسىم"
"Embedded Shell Launcher","قىستۇرما چاپان قوزغاتقۇچ"
"embedded style sheet","قىستۇرما ئۇسلۇب بېتى"
"embedded video clip","قىستۇرما سىن"
"emoji","كەيپىيات"
"emoji panel","ھېسسىيات ئىپادە تاختىسى"
"emoticon","ھېسسىيات ئىپادىسى"
"Emphasis","گەۋدىلەندۈرۈش"
"emphasis animation effect","گەۋدىلەنمە ھەرىكەتلىك ئۈنۈم"
"Emphasis Effects","گەۋدىلەنمە ئۈنۈم"
"Emphasize","تەكىتلەش"
"empty","بوش"
"em space","M بوشلۇقى"
"enable","ئىشلەتمەك"
"encapsulated PostScript","يىغما رەسىم"
"encoding","كودىلاش"
"encrypt","شىفىرلاشتۇرماق"
"encryption","مەخپىيلەشتۈرۈش"
"Encryption","مەخپىيلەشتۈرۈش"
"encryption key","مەخپىيلەشتۈرۈش ئاچقۇچى"
"encryption provider","مەخپىيلەشتۈرۈش تەمىنلىگۈچى"
"Encrypt-Only","پەقەت مەخپىيلەشتۈرۈش"
"end","تاماملىماق"
"End mode","ئاياغ ھالەت"
"end of support","ياردەم ئاخىرى"
"end tag","ئاياغ خەتكۈچ"
"end user","ئىشلەتكۈچى"
"Energy","ئېنېرگىيە"
"Engaged restart","پۈتۈشكەن قايتا قوزغىتىش"
"engagement","پۈتۈشمە"
"English Assistance","ئىنگلىزچە ياردەم"
"enhance","ياخشىلاش"
"enhanced","كۈچەيتىلگەن"
"Enhanced dictation","مۇكەممەل ئاڭلاپ يېزىش"
"enhanced DVD movie","مۇكەممەللەشكەن DVD كىنو"
"Enhanced ScreenTip","كۈچەيتىلگەن ئېكران كۆرسەتمىلىرى"
"enhanced sign-in security","كۈچەيتىلگەن تىزىملاپ كىرىش بىخەتەرلىگى"
"enroll","تىزىملىتىش"
"en space","N بوشلۇقى"
"enter","كىرمەك"
"enterprise","كارخانا"
"enterprise control","كارخانا تىزگىنى"
"Enterprise data protection","كارخانا مەلۇماتىنى قوغداش"
"Entertainment","كۆڭۈل ئېچىش"
"entertainment","كۆڭۈل ئېچىش"
"entity","گەۋدە"
"entity extraction","ھۆججەتنى يېيىش"
"entity extractor","يايغۇچ"
"entity node","گەۋدە تۈگۈنى"
"Entrance","كىرىش"
"entrance animation effect","كىرمە ھەرىكەتلىك ئۈنۈم"
"Entrance Effects","كىرىش ئۈنۈمى"
"entry","كىرگۈزۈش"
"entry animation effect","كىرگەن ھەرىكەت ئۈنۈمى"
"enumerated data type","تەرتىپلىك ئۇچۇر تىپى"
"envelope","كونۋېرت"
"environmental sensor","مۇھىت سەزگۈچ"
"EPUB","EPUB"
"equalizer","تەڭپۇڭلاشتۇرغۇچ"
"Equation","تەڭلىمە"
"Equation Builder","تەڭلىمە تۈزگۈچ"
"E-reader","ئېلېكتىرونلۇق ئوقۇغۇچ"
"error","خاتالىق"
"error bar","خاتالىق كۆزنىكى"
"error checking","خاتالىق تەكشۈرۈش"
"error value","خاتا قىممەت"
"ESC key","ESC كۇنۇپكىسى"
"essential service","زۆرۈر مۇلازىمەت"
"Ethernet","ئىسېرنېت"
"Evaluate Formula","فورمۇلانى تەكشۈرۈش"
"evaluation criteria","باھا ئۆلچىمى"
"event","ھادىسە"
"event address","مەنبە ئادرېسى"
"event handler","ھادىسە بىر تەرەپ قىلغۇچ"
"event listener","قاراۋۇل"
"event property","ئىش خاسلىقى"
"Events","پائالىيەتلەر"
"Events from Email","تورخەتتىكى ئىشلار"
"Event Viewer","ئىش كۆرگۈچ"
"exact word extraction dictionary","دەل سۆز تاللىۋېلىش لۇغىتى"
"exact word part extraction dictionary","بار سۆز تاللىۋېلىش لۇغىتى"
"Excel","Excel"
"Excel add-in","Excel قوشۇمچىسى"
"Excel Calculation Server","Excel ھېسابلاش مۇلازىمىتېرى"
"Excel Calculation Services","Excel ھېسابلاش مۇلازىمىتى"
"Excel Cube Functions","Excel كۇب فۇنكىسىيەسى"
"Excel Mobile Viewer","Excel Mobile Viewer"
"Excel Services","Excel Services"
"Excel table","Excel جەدۋىلى"
"Excel Web Services","Excel تور مۇلازىمەتلىرى"
"Excel XML Format","Excel XML فورماتى"
"Exchange ActiveSync","Exchange ActiveSync"
"Exchange Fast Access","Exchange تېز نەزەر"
"exclude dictionary","يانداش لۇغەت"
"exclusive","ئالاھىدە"
"execute","ئىجرا قىلىش"
".exe file",".exe file"
"exempt ID","باج كەچۈرۈم نومۇرى"
"exempt payee","باجلانماس"
"Exercise Tracker","مەشىق خاتىرلىگۈچ"
"exit","چېكىنمەك"
"Exit","چىقىش"
"Exit Effects","چىقىش ئۈنۈمى"
"Exit HTML Source","HTML مەنبەدىن چېكىنىش"
"expand","يايماق"
"expand control","كونترولنى يېيىش"
"expanded view","يايما كۆرۈنۈش"
"expand indicator","كېڭەيتكۈچ"
"experience","تەجرىبە"
"expiration date","ئۈنۈملۈك مۇددىتى"
"expiring link","ۋاقىتلىق ئۇلانما"
"exploded doughnut chart","ھالقىسىمان كۈچەيتمە گىرافىك"
"exploded pie chart","يۇمىلاق كۈچەيتمە گىرافىك"
"Exploit Protection","ساقلىق قوغدىغۇچ"
"explore","كۆرۈش"
"exponential trendline","سانلىق كۆرسەتكۈچ"
"export","چىقارماق"
"expression","ئىپادە"
"Extensible Stylesheet Language","كېڭىيىشچان ئۇسلۇب تىلى"
"extension","كېڭەيتىلمە"
"extent","كېڭەيتىلمە"
"external access","سىرتتىن كىرىش"
"external content type","تاشقى مەزمۇن تىپى"
"external data","تاشقى ئۇچۇر"
"external data range","تاشقى ئۇچۇر قاتارى"
"external display","تاشقى كۆرسەتكۈچ"
"external list","تاشقى تىزىملىك"
"External System","تاشقى سىستېما"
"external table","تاشقى جەدۋەل"
"external task","سىرتقى ۋەزىپە"
"extra color","قوشۇمچە رەڭ"
"extract","يايماق"
"eye control","كۆز تىزگىن"
"eyedropper","ئۆرنەكچى"
"face down","يۈزى پەسكە"
"faceted navigation","تاۋلاش كۆرسەتكۈچى"
"factorial","فاكتورىيال"
"failure","مەغلۇپ بولۇش"
"Fair Usage Policy","مۇۋاپىق ئىشلىتىش بەلگىلىمىسى"
"Family","ئائىلە"
"family","ئائىلە"
"Family & kids","ئائىلە ۋە پەرزەنت"
"Family options","ئائىلە تاللانمىلىرى"
"Family Safety","ئائىلە بىخەتەرلىكى"
"FAQ","دائىم كۆرۈلىدىغان مەسىلە"
"fast forward","تېز ئىلگىرلەش"
"fast shutdown","تېز ئېتىش"
"fast startup","تېز قوزغىتىش"
"FAT","FAT"
"fault","خاتالىق"
"favorite","ئامراق"
"Favorite Folders","كۆڭۈلدىكى ھۆججەتدانلار"
"Favorites","كۆڭۈلدىكىلەر"
"feature","ئالاھىدىلىك"
"Featured","ئالقىشلىق"
"Featured albums","ئالقىشلىق پىلاستىنكىلار"
"Featured apps","ئالقىشلىق ئەپلەر"
"Featured artists","ئالقىشلىق سەنئەتكارلار"
"Featured collections","ئالقىشلىق توپلاملار"
"Featured games","ئالقىشلىق ئويۇنلار"
"Featured movies","ئالقىشلىق كىنولار"
"Featured music","ئالقىشلىق مۇزىكىلار"
"Featured selection","ئالقىشلىق تاللانمىلار"
"Featured sets","ئالقىشلىق توپلاملار"
"Featured TV","ئالقىشلىق تىياتىرلار"
"Featured TV shows","ئالقىشلىق تىياتىرلار"
"feature update","ئىقتىدار يېڭىلانمىسى"
"federated user","بىرلەشمە ئىشلەتكۈچى"
"feed","مەنبە"
"Feedback","تەكلىپ"
"feedback","تەكلىپ"
"Feedback Hub","تەكلىپ-پىكىر مەركىزى"
"fetch","ئېلىپ كەلمەك"
"Fiction","ھېكايە"
"field","بۆلەك"
"field button","ئورۇن كونۇپكىسى"
"field code","ئورۇن كودى"
"field list","ئورۇن تىزىملىكى"
"field name","بۆلەك نامى"
"field results","بۆلەك نەتىجىسى"
"field type","ئورۇن تىپى"
"Fighting","ئۇرۇش"
"file","ھۆججەت"
"file allocation table","ھۆججەت تەخسىملەش جەدۋىلى"
"File as Printout","باسما ھۆججەتكە ئايلاندۇرۇش"
"File Block","ھۆججەت توسۇش"
"File Explorer","ھۆججەت كۆرگۈچ"
"file format","ھۆججەت ئەندىزىسى"
"File History","ھۆججەت تارىخى"
"File management","ھۆججەت باشقۇرۇش"
"File managers","ھۆججەت باشقۇرغۇچلار"
"File menu","ھۆججەت تىزىملىكى"
"file name extension","ھۆججەت نامى كېڭەيتىلمىسى"
"file picker","ھۆججەت تاللىغۇچ"
"file property","ھۆججەت خاسلىقى"
"filer","ئارخىپچى"
"filer user","ھۆججەت ئىشلەتكۈچى"
"Files","ھۆججەت"
"Files On-Demand","قولغا يېقىن ھۆججەت"
"file storage","ھۆججەت بوشلۇقى"
"file system","ھۆججەت سىستېمىسى"
"File tab","ھۆججەت بالدىقى"
"File Transfer Protocol","ھۆججەت يوللاش كېلىشىمى"
"file type","ھۆججەت تىپى"
"fill effect","تولدۇرما ئۈنۈم"
"fill handle","تۇتقۇچ"
"fill series","تولدۇرمىلار"
"FILTER","سۈزگۈچ"
"filter","سۈزگۈچ"
"filter area","سۈزگۈچ رايونى"
"Filter By Form","جەدۋەل بويىچە سۈزۈش"
"Filter By Selection","تاللانما بويىچە سۈزۈش"
"filtered HTML","HTML سۈزۈلگەن"
"Filter Excluding Selection","چىقىرىۋېتىپ سۈزۈش"
"filter field","سۈزۈش ئورنى"
"Finance","ئىقتىساد"
"find","ئىزدىمەك"
"Find My Phone","تېلېفونۇمنى تېپىش"
"FINDN","FINDN"
"FindTime","ۋاقىت تېپىش"
"Finish","تاماملىماق"
"finish date","ئاخىرلاشقان چېسلا"
"firewall","ئوتتام"
"Firewall & network protection","ئوتتام ۋە تور قوغداش"
"firmware protection","قاتۇرما دېتال قوغدىغۇچ"
"first-stage Recycle Bin","بىرىنچى باسقۇچ ئەخلەت ساندۇقى"
"fixed file location","مۇقىم ھۆججەت ئورنى"
"fixed positioning","مۇقىم ئورۇنلىشىش"
"flag","بەلگە"
"flagged","بەلگە سېلىنغان"
"flash","تەسۋىر"
"Flash Edit","تېز تەھرىرلەش"
"Flash Fill","Flash Fill"
"flick","سىيرىماق"
"flip ahead","ئالدىغا ۋاراقلىماق"
"float","كەسىر"
"floating column chart","لەيلىمە رەت گىرافىكى"
"floating object","لەيلىمە ئوبيېكت"
"floating toolbar","لەيلىمە قورالبالداق"
"floppy disk","يۇمشاق دىسكا"
"floppy disk drive","يۇمشاق دىسكا قوزغاتقۇچ"
"flow","ئاقما"
"flowchart","ئاقما گىرافىك"
"Fluency Score","راۋانلىق دەرىجىسى"
"Fluent","Fluent"
"flyer","ۋاراق"
"flyout anchor","سەكرىمە كونۇپكا"
"focal length","فوكۇس ئارىلىقى"
"Focus","فوكۇس"
"focus","فوكۇس"
"Focused","نۇقتىلىق"
"Focused Inbox","نۇقتىلىق خەت ساندۇقى"
"Focus mode","فوكۇس ھالىتى"
"Focus Mode","فوكۇس ھالىتى"
"focus plan","دىققەت پىلانى"
"folder","قىسقۇچ"
"folder home page","ھۆججەتدان باش بېتى"
"Folder List","قىسقۇچ تىزىملىكى"
"Folder Pane","ھۆججەتدان كۆزنىكى"
"follow","ئەگىشىش"
"Follow Up","ئەگىشىش"
"font","خەت نۇسخا"
"Font choices","خەت نۇسخىلىرى"
"font size","خەت نۇسخىسى چوڭلۇقى"
"Font spacing","خەت ئارىلىقى"
"font style","خەت نۇسخىسى ئۇسلۇبى"
"font substitution","خەت نۇسخىسىنى ئالماشتۇرۇش"
"Food & Dining","يېمەك-ئىچمەك"
"Food & Drink","يېمەك - ئىچمەك"
"footer","بەت ئاستى"
"foreground color","ئالدى رەڭ"
"foreign key","سىرتقى ئاچقۇچ"
"form","كۆزنەك"
"Formal Language","تەكەللۇپچان تىل"
"format","فورمات"
"format bar","ئەندىزە بالدىقى"
"Format Object task pane","ۋەزىپە ئەندىزىسى كۆزنىكى"
"Format Painter","ئەندىزە سىزغۇچ"
"format switch","ئەندىزە ئالماشتۇرغۇچ"
"Formatting toolbar","ئەندىزە جابدۇقدانى"
"form control","رامكا تىزگىنى"
"form definition file","رامكا ئېنىقلىما ھۆججىتى"
"form field","رامكا ئورنى"
"form region","كۆزنەك رايونى"
"forms cache","رامكا ساقلانمىلىرى"
"Forms Preview","Forms Preview"
"form template","رامكا ئۇسلۇبى"
"formula","فورمۇلا"
"formula bar","فورمۇلا كۆزنىكى"
"Formula Builder","فورمۇلا تۈزگۈچ"
"Formula Palette","فورمۇلا تاللانمىلىرى"
"Form view","رامكىنى كۆرۈش"
"forward","باشقىلارغا يوللىماق"
"forward slash","يانتۇ سىزىق"
"four-headed arrow","قارىمۇ-قارشى يۆنىلىش"
"FPS","سېكۇنتلۇق كۆرۈنۈش قېتىمى"
"FQDN","FQDN"
"fraction","پارچىسى"
"fraction bar","پارچىلاش بالدىقى"
"frame","رامكا"
"Frame Guide","رامكا كۆرسەتمىسى"
"frame rate","كۆرۈنۈش قېتىمى"
"frames per second","سېكۇنتلۇق كۆرنۈش قېتىمى"
"fraudulent","ئالدامچىلىق"
"free","بوش"
"free/busy time","بوش/ئالدىراش ۋاقىت"
"freeform","ئەركىن رامكا"
"freeze","توڭلاتماق"
"Fresh","يېڭى"
"Fresh Start","يېڭىدىن باشلاش"
"friend","دوست"
"friends","دوستلار"
"Friends","دوستلار"
"from SA USL","SA USL دىن"
"From Time","باشلاش ۋاقتى"
"front facing","ئالدىچە"
"FTE","پۈتۈن كۈنگە باراۋەر"
"FTP","FTP"
"full screen","پۈتۈن ئېكران"
"full-screen mode","تولۇق ئېكران ھالىتى"
"full-time equivalent","پۈتۈن كۈنگە باراۋەر"
"full USL","تولۇق USL"
"full version","تولۇق نەشرى"
"fully qualified domain name","تولۇق ئۆلچەملىك دائىرە نامى"
"FUNCTION","فۇنكسىيە"
"function","فۇنكسىيە"
"functional data","ئىقتىدار مەلۇماتى"
"function procedure","فۇنكسىيە جەريانى"
"Funnel","سۈكەن"
"funnel chart","سۈكەن گىرافىك"
"FUP","مۇۋاپىق ئىشلىتىش بەلگىلىمىسى"
"fuzzing","تۇتۇق"
"gadget","كىچىك قورال"
"gain adjustment","ئاۋاز تەڭشىكى"
"GAL","GAL"
"galaxy","سامانيولى"
"gallery","ئامبار"
"Gallery View","تىزما"
"game","ئويۇن"
"Game bar","ئويۇن بالدىقى"
"game hub","ئويۇن مەركىزى"
"Games","ئويۇنلار"
"Games with Gold","Games with Gold"
"Game trailers","ئويۇن ئېلانى"
"GB","GB"
"GBP","GBP"
"GCC","ھ م ب"
"Gear","تۇتقا"
"general location","تەخمىنىي ئورنى"
"genre","ئېقىم"
"genuine","ھەقىقىي نەشىر"
"genuine validation","ھەقىقىيلىقنى تەكشۈرۈش"
"geo","يەر"
"geo administrator","ئورۇن باشقۇرغۇچى"
"Geography","جۇغراپىيە"
"geo location","جۇغراپىيەلىك ئورۇن"
"geo-specific","ئورۇنغا خاس"
"gesture","ئىشارەت"
"Get Genuine Windows","Get Genuine Windows"
"Get Help","ياردەم ئېلىش"
"Get Windows 10","Windows 10 غا ئېرىشىش"
"gift card","سوۋغات كارتىسى"
"gigabyte","گىگابايت"
"glass","ئەينەك"
".glb",".glb"
"global","پۈتۈن دائىرىلىك"
"Global Address List","خەلقئارالىق ئادرېس تىزىملىكى"
